Date,Ratio
5/22/2015,0.762368998
5/23/2015,0.761881550
5/24/2015,0.787716305
5/25/2015,0.805995613
5/26/2015,0.771874238
5/27/2015,0.743114794
5/28/2015,0.753838655
5/29/2015,0.761637826
5/30/2015,0.748720448
5/31/2015,0.768462101
6/1/2015,0.819246436
6/2/2015,0.829684318
6/3/2015,0.829429735
6/4/2015,0.814663951
6/5/2015,0.787423625
6/6/2015,0.778258656
6/7/2015,0.807281059
6/8/2015,0.803716904
6/9/2015,0.812627291
6/10/2015,0.803716904
6/11/2015,0.813645621
6/12/2015,0.821792261
6/13/2015,0.819501018
6/14/2015,0.829175153
6/15/2015,0.826120163
6/16/2015,0.829938900
6/17/2015,0.830702648
6/18/2015,0.817718941
6/19/2015,0.796843177
6/20/2015,0.789460285
6/21/2015,0.809826884
6/22/2015,0.812627291
6/23/2015,0.814409369
6/24/2015,0.800152749
6/25/2015,0.716649695
6/26/2015,0.695519348
6/27/2015,0.693482688
6/28/2015,0.741344196
6/29/2015,0.784114053
6/30/2015,0.783604888
7/1/2015,0.777494908
7/2/2015,0.751527495
7/3/2015,0.743126273
7/4/2015,0.769602851
7/5/2015,0.789969450
7/6/2015,0.804989817
7/7/2015,0.808044807
7/8/2015,0.804735234
7/9/2015,0.779531568
7/10/2015,0.761456212
7/11/2015,0.756619145
7/12/2015,0.803971487
7/13/2015,0.818991853
7/14/2015,0.803716904
7/15/2015,0.824592668
7/16/2015,0.837067210
7/17/2015,0.830448065
7/18/2015,0.789969450
7/19/2015,0.813391039
7/20/2015,0.817973523
7/21/2015,0.820773931
7/22/2015,0.818482688
7/23/2015,0.828665988
7/24/2015,0.791496945
7/25/2015,0.792260692
7/26/2015,0.824083503
7/27/2015,0.825610998
7/28/2015,0.767820774
7/29/2015,0.761710794
7/30/2015,0.763747454
7/31/2015,0.730670103
8/1/2015,0.730651731
8/2/2015,0.759419552
8/3/2015,0.796843177
8/4/2015,0.817973523
8/5/2015,0.822074943
8/6/2015,0.826408361
8/7/2015,0.784093806
8/8/2015,0.757328575
8/9/2015,0.781799643
8/10/2015,0.786133061
8/11/2015,0.776446597
8/12/2015,0.788172317
8/13/2015,0.784858527
8/14/2015,0.781544736
8/15/2015,0.802192200
8/16/2015,0.812898292
8/17/2015,0.815192455
8/18/2015,0.815702269
8/19/2015,0.799133316
8/20/2015,0.816446029
8/21/2015,0.806517312
8/22/2015,0.795824847
8/23/2015,0.818737271
8/24/2015,0.819501018
8/25/2015,0.808553971
8/26/2015,0.756109980
8/27/2015,0.755855397
8/28/2015,0.726578411
8/29/2015,0.735234216
8/30/2015,0.778513238
8/31/2015,0.793483838
9/1/2015,0.793086046
9/2/2015,0.798637396
9/3/2015,0.799646732
9/4/2015,0.793843048
9/5/2015,0.791067373
9/6/2015,0.802927075
9/7/2015,0.821599798
9/8/2015,0.832197830
9/9/2015,0.803431744
9/10/2015,0.800403735
9/11/2015,0.778450669
9/12/2015,0.772646985
9/13/2015,0.808730760
9/14/2015,0.819328791
9/15/2015,0.835730507
9/16/2015,0.825889478
9/17/2015,0.815039112
9/18/2015,0.779460005
9/19/2015,0.766086298
9/20/2015,0.814534444
9/21/2015,0.811254100
9/22/2015,0.824627807
9/23/2015,0.816553116
9/24/2015,0.802674741
9/25/2015,0.751955589
9/26/2015,0.764067626
9/27/2015,0.790562705
9/28/2015,0.807216755
9/29/2015,0.781478678
9/30/2015,0.803179410
10/1/2015,0.756763344
10/2/2015,0.747745552
10/3/2015,0.771874238
10/4/2015,0.790640994
10/5/2015,0.791128443
10/6/2015,0.788447477
10/7/2015,0.786741409
10/8/2015,0.770899342
10/9/2015,0.732147209
10/10/2015,0.734584450
10/11/2015,0.771143066
10/12/2015,0.791615891
10/13/2015,0.800146234
10/14/2015,0.799658786
10/15/2015,0.793078235
10/16/2015,0.767974653
10/17/2015,0.758225689
10/18/2015,0.782354375
10/19/2015,0.798196442
10/20/2015,0.809164026
10/21/2015,0.800877407
10/22/2015,0.818912990
10/23/2015,0.808432854
